,star_rating,title,year,content_rating,genre,duration,gross,rt_score,star_decimal,ratio
15,8.7,The Matrix,1999,R,Action,136,6100000,0.88,0.87,0.988636363636
54,8.5,Dangal,2016,Not Rated,Action,161,23341568,0.88,0.85,0.965909090909
97,8.3,Indiana Jones and the Last Crusade,1989,R,Action,127,594442,0.88,0.83,0.943181818182
61,8.4,The Dark Knight Rises,2012,R,Action,164,134896,0.87,0.84,0.965517241379
60,8.4,The Shining,1980,PG-13,Drama,146,7270000,0.87,0.84,0.965517241379
11,8.8,Inception,2010,PG-13,Action,148,96067179,0.87,0.88,1.01149425287
68,8.4,Once Upon a Time in America,1984,R,Crime,229,312900000,0.86,0.84,0.976744186047
59,8.4,Django Unchained,2012,R,Drama,165,330423,0.86,0.84,0.976744186047
9,8.8,Avengers: Infinity War,2018,PG-13,Action,149,107928762,0.85,0.88,1.03529411765
87,8.3,Batman Begins,2005,R,Action,140,854482,0.84,0.83,0.988095238095
46,8.5,American History X,1998,R,Crime,119,100125643,0.83,0.85,1.02409638554
88,8.3,Scarface,1983,PG,Crime,170,204843350,0.81,0.83,1.02469135802
96,8.3,Star Wars: Episode VI - Return of the Jedi,1983,PG-13,Action,131,5321508,0.81,0.83,1.02469135802
23,8.6,Se7en,1995,R,Crime,127,1491637,0.81,0.86,1.06172839506
29,8.6,Life Is Beautiful,1997,PG-13,Comedy,116,1411085,0.8,0.86,1.075
42,8.5,The Green Mile,1999,R,Crime,189,130742922,0.79,0.85,1.07594936709
86,8.3,Requiem for a Dream,2000,PG-13,Drama,102,32000000,0.79,0.83,1.05063291139
13,8.8,Fight Club,1999,R,Drama,139,377845905,0.79,0.88,1.11392405063
62,8.4,Braveheart,1995,R,Biography,178,19181,0.77,0.84,1.09090909091
36,8.5,Gladiator,2000,R,Action,155,112000000,0.76,0.85,1.11842105263
38,8.5,The Prestige,2006,PG-13,Drama,130,269061,0.76,0.85,1.11842105263
47,8.5,The Intouchables,2011,R,Biography,112,1059654,0.75,0.85,1.13333333333
93,8.3,Snatch,2000,R,Comedy,102,622183,0.73,0.83,1.13698630137
20,8.6,Interstellar,2014,PG-13,Adventure,169,315544750,0.72,0.86,1.19444444444
12,8.8,Forrest Gump,1994,PG-13,Drama,142,1401164,0.72,0.88,1.22222222222
22,8.6,Lon: The Professional,1994,R,Crime,110,292576195,,0.86,
58,8.5,Babam ve Oglum,2005,R,Drama,108,57598247,,0.85,
64,8.4,Kimi no na wa.,2016,R,Animation,106,209726015,,0.84,
65,8.4,Oldeuboi,2003,R,Action,120,1011454,,0.84,
67,8.4,WALLáE,2008,R,Animation,98,770983,,0.84,
75,8.4,Taare Zameen Par,2007,Not Rated,Drama,165,998305,,0.84,
